C:\Users\jay\python code\jasons_testNametest.tiff,[9564.717542120912],[9795.203171456888],[12051.75817641229],[10600.832507433102],[9972.995044598612],[10673.902874132806],[8711.86521308226],[10681.577799801784],[10829.890981169474],[10388.281466798811],[5232.038998448926],[6203.816530024374],[7131.756259694217],[6604.532683359184],[5563.944161311766],[5160.271216485708],[5368.905827609129],[7126.495014402836],[6199.689785065367],[5339.380456459118]
C:\Users\jay\python code\jasons_testNametest.tiff,9564.717542120912,9795.203171456888,12051.75817641229,10600.832507433102,9972.995044598612,10673.902874132806,8711.86521308226,10681.577799801784,10829.890981169474,10388.281466798811,5232.038998448926,6203.816530024374,7131.756259694217,6604.532683359184,5563.944161311766,5160.271216485708,5368.905827609129,7126.495014402836,6199.689785065367,5339.380456459118
C:\Users\jay\python code\jasons_testNametest.tiff,9564.717542120912,9795.203171456888,12051.75817641229,10600.832507433102,9972.995044598612,10673.902874132806,8711.86521308226,10681.577799801784,10829.890981169474,10388.281466798811,5232.038998448926,6203.816530024374,7131.756259694217,6604.532683359184,5563.944161311766,5160.271216485708,5368.905827609129,7126.495014402836,6199.689785065367,5339.380456459118
C:\Users\jay\python code\jasons_testNametest.tiff,9564.717542120912,9795.203171456888,12051.75817641229,10600.832507433102,9972.995044598612,10673.902874132806,8711.86521308226,10681.577799801784,10829.890981169474,10388.281466798811,5232.038998448926,6203.816530024374,7131.756259694217,6604.532683359184,5563.944161311766,5160.271216485708,5368.905827609129,7126.495014402836,6199.689785065367,5339.380456459118
C:\Users\jay\python code\jasons_testNametest.tiff,9564.717542120912,9795.203171456888,12051.75817641229,10600.832507433102,9972.995044598612,10673.902874132806,8711.86521308226,10681.577799801784,10829.890981169474,10388.281466798811,5232.038998448926,6203.816530024374,7131.756259694217,6604.532683359184,5563.944161311766,5160.271216485708,5368.905827609129,7126.495014402836,6199.689785065367,5339.380456459118
C:\Users\jay\python code\jasons_testNametest.tiff,9564.717542120912,9795.203171456888,12051.75817641229,10600.832507433102,9972.995044598612,10673.902874132806,8711.86521308226,10681.577799801784,10829.890981169474,10388.281466798811,2752.6977205153617,2628.757185332012,13794.378592666006,3985.8235877106044,2411.3221010901884,5232.038998448926,6203.816530024374,7131.756259694217,6604.532683359184,5563.944161311766,5160.271216485708,5368.905827609129,7126.495014402836,6199.689785065367,5339.380456459118,3551.9929093729224,4465.035231553291,6825.707068468868,4759.991136716153,3294.6031464657653
C:\Users\jay\python code\jasons_testName_goldone_laser.tiff,4840.15064420218,4349.399405351834,4931.0287413280475,6325.217046580773,5845.312190287414,3103.5242814667986,2951.8652130822597,3244.780971258672,4312.29335976214,4179.916749256689,10686.61732771992,9615.053401285177,4879.709284289829,6226.917793042322,7308.4121426988695,3285.8958564148015,3055.9326390427655,3397.8001329492577,4200.842011965433,4466.116552182583
C:\Users\jay\python code\jasons_testNametest.tiff,9564.717542120912,9795.203171456888,12051.75817641229,10600.832507433102,9972.995044598612,10673.902874132806,8711.86521308226,10681.577799801784,10829.890981169474,10388.281466798811,5232.038998448926,6203.816530024374,7131.756259694217,6604.532683359184,5563.944161311766,5160.271216485708,5368.905827609129,7126.495014402836,6199.689785065367,5339.380456459118
C:\Users\jay\python code\jasons_testNametest.tiff,9564.717542120912,9795.203171456888,12051.75817641229,10600.832507433102,9972.995044598612,10673.902874132806,8711.86521308226,10681.577799801784,10829.890981169474,10388.281466798811,5232.038998448926,6203.816530024374,7131.756259694217,6604.532683359184,5563.944161311766,5160.271216485708,5368.905827609129,7126.495014402836,6199.689785065367,5339.380456459118
C:\Users\jay\python code\jasons_testNametest.tiff,9564.717542120912,9795.203171456888,12051.75817641229,10600.832507433102,9972.995044598612,10673.902874132806,8711.86521308226,10681.577799801784,10829.890981169474,10388.281466798811,2752.6977205153617,2628.757185332012,13794.378592666006,3985.8235877106044,2411.3221010901884,5232.038998448926,6203.816530024374,7131.756259694217,6604.532683359184,5563.944161311766,5160.271216485708,5368.905827609129,7126.495014402836,6199.689785065367,5339.380456459118,3551.9929093729224,4465.035231553291,6825.707068468868,4759.991136716153,3294.6031464657653
C:\Users\jay\python code\jasons_testNametest.tiff,9564.717542120912,9795.203171456888,12051.75817641229,10600.832507433102,9972.995044598612,10673.902874132806,8711.86521308226,10681.577799801784,10829.890981169474,10388.281466798811,5232.038998448926,6203.816530024374,7131.756259694217,6604.532683359184,5563.944161311766,5160.271216485708,5368.905827609129,7126.495014402836,6199.689785065367,5339.380456459118
C:\Users\jay\python code\jasons_testName_goldone_laser.tiff,52540.165621079046,45532.80803011292,36882.790464240905,38289.34504391468,36531.09159347553,18887.004689655172,16499.548689655174,13824.900413793104,13622.064551724137,11661.801931034483
C:\Users\jay\python code\jasons_testNamerhett-delta-spike300.tiff,16248.210790464242,18310.10288582183,21004.045169385194,5489.786700125471,42810.07779171895,3860.155583437892,39191.407779171896,18103.44792973651,24433.34504391468,27353.816813048932,26099.45294855709,27832.37139272271,41561.31493099122,3620.858218318695,15626.077791718946,18530.69008782936,19557.0991217064,33149.28983688833,6342.664993726475,46644.67754077792,33408.90338770389,19613.229611041406,34669.32998745295,7603.151819322459,27375.5382685069,34655.79924717691,7451.06148055207,36284.14554579674,6946.449184441656,26331.52321204517,9321.595984943538,46547.774153074024,40886.644918444166,44494.69510664994,4211.3124215809285,42131.91468005019,23037.189460476788,28531.673776662483,46482.81053952321,5847.207026348808,42164.45671267252,39965.4504391468,19937.565872020074,53249.1643663739,37433.13425345044,57651.412797992474,6277.0589711417815,55005.39021329988,3967.4378920953577,8438.810482758621,11640.796689655172,11229.378206896552,12282.235586206896,15569.730206896551,15927.401931034483,12730.831448275861,11904.644413793103,15323.08303448276,14735.368827586208,16387.385379310344,19761.513931034482,18721.001931034483,16760.898206896552,10840.17875862069,14668.067310344828,15062.21903448276,17242.752,17836.398344827587,22218.98151724138,18599.68,12171.577379310345,16622.508137931036,12227.102896551723,20917.371586206897,18952.046344827588,22054.801655172414,14768.353103448277,12871.309241379311,15891.592827586206,14405.12,25486.998068965517,25382.585379310345,21694.194758620688,16410.760827586208,18066.379034482758,21853.537103448274,20302.662620689654,27687.927172413794,20220.14675862069,27282.228965517243,15417.299862068965,18833.297655172413,24848.692965517243,27585.460965517243,27489.38593103448,18447.483586206898,24460.398344827587,13671.503448275862
E:\code\retreat-code\jasons_testName_goldone_laser.tiff,4840.15064420218,4349.399405351834,4931.0287413280475,6325.217046580773,5845.312190287414,3103.5242814667986,2951.8652130822597,3244.780971258672,4312.29335976214,4179.916749256689,10686.61732771992,9615.053401285177,4879.709284289829,6226.917793042322,7308.4121426988695,3285.8958564148015,3055.9326390427655,3397.8001329492577,4200.842011965433,4466.116552182583
jasons_testNamerhett-delta-spike300.tiff,17703.51635282458,21820.27353815659,34192.45986124876,14348.654112983151,18549.05847373637,22813.415262636274,25612.51139742319,49022.017839445,17958.342913776018,19470.93756194252,16798.716596499,19277.507644582318,27176.02658985154,23030.955905162864,23675.37336583204,17373.032572568136,23377.35430977177,24205.482827387546,21831.714602260137,21717.215156215378
jasons_testNamerhett-delta-spike300.tiff,17703.51635282458,21820.27353815659,34192.45986124876,14348.654112983151,18549.05847373637,8589.890981169474,5407.333994053518,22813.415262636274,25612.51139742319,49022.017839445,17958.342913776018,19470.93756194252,7288.07135777998,4264.6580773042615,3996.796828543112,5713.125867195243,10511.032705649157,10332.479682854311,4875.544103072349,8065.014866204163,5128.309217046581,4214.993062438058,3656.816650148662,13196.463825569872,10470.311199207135,4797.462834489594,5791.587710604559,3980.8761149653124,3588.1863230921704,3345.3795837462835,6828.527254707631,5553.601585728444,4054.6442021803764,3941.7403369672943,4232.943508424182,3175.706640237859,2727.579781962339,6677.1219028741325,3614.826560951437,2624.444003964321,3035.337958374628,3301.8037661050544,2640.364717542121,2256.1110009910803,4767.9682854311195,3057.4112983151635,2203.97224975223,2481.0307234886027,2038.2953419226958,16798.716596499,19277.507644582318,27176.02658985154,23030.955905162864,23675.37336583204,11580.46177708841,5180.525592732107,17373.032572568136,23377.35430977177,24205.482827387546,21831.714602260137,21717.215156215378,7635.027697762021,4779.3095501883445,6941.220474185686,7815.505428761356,12300.06470197208,11347.970751163306,9748.630179481497,5947.915798803457,5531.866164413916,4023.8599601152227,5372.525592732107,7888.436073565256,8350.80168402393,6086.551739419455,4728.242853977398,5107.93175271438,3940.6018169731888,3570.4143585198317,6806.704187901618,5510.310658098826,4610.084644360736,3727.968092178152,3761.421670729005,3818.713937513849,3057.095501883448,5118.681143363616,3985.910923997341,3171.8076667405276,3053.2665632616886,3579.34854863727,3092.449368491026,2593.467759805008,3532.41214269887,2894.6350542876135,2174.7945933968535,2430.893862175936,2947.119875914026
jasons_testNamerhett-delta-spike300.tiff,14235.38268506901,16000.963613550815,22520.331242158092,7220.195734002509,45722.579673776665,5059.6135508155585,41749.480552070265,16140.486825595985,23026.790464240905,28958.996235884566,28501.84190715182,26643.914680050188,47019.08155583438,4576.361355081556,15436.647427854454,15807.036386449185,19618.208281053954,32361.294855708908,7816.110414052698,51970.12797992472,30954.519447929735,15996.627352572146,31923.31242158093,9204.115432873275,26445.63111668758,25487.016311166877,9363.513174404015,36374.14303638645,6276.33626097867,21607.106649937265,14651.904642409034,46272.7026348808,35801.39523212045,43380.69761606023,4791.086574654956,32403.41279799247,19100.466750313677,27782.705144291092,40851.9347553325,6748.5872020075285,39505.94730238394,37783.48808030113,11930.499372647428,43489.746549560856,29637.741530740277,57951.37766624843,6617.535759096612,58798.735257214554,4403.151819322459,8268.08496551724,11832.143448275861,12352.891586206897,13483.776,17137.911172413795,18862.000551724137,15058.321655172414,11798.713379310344,15035.952551724138,15512.377379310345,17725.726896551725,21224.889379310345,22162.374620689654,19728.90924137931,11092.135724137932,14703.567448275862,15068.91475862069,17931.489103448275,18147.79144827586,22854.912,20332.040827586206,12255.607172413793,16316.910344827586,13030.263172413794,20266.71668965517,17632.16331034483,21366.920827586207,14849.315310344828,11424.873931034483,15263.863172413792,16444.694068965517,25614.34924137931,23608.028689655173,21733.790896551724,17626.972689655173,14330.822620689654,18457.44551724138,20177.928827586205,27255.556413793103,19378.816,24755.63255172414,15786.478344827587,13906.321655172414,18603.347862068964,23926.316137931033,26146.524689655173,18810.13848275862,24007.459310344828,14947.451586206897
jasons_testNamerhett-delta-spike300.tiff,14235.38268506901,16000.963613550815,22520.331242158092,7220.195734002509,45722.579673776665,5059.6135508155585,41749.480552070265,16140.486825595985,23026.790464240905,28958.996235884566,28501.84190715182,26643.914680050188,47019.08155583438,4576.361355081556,15436.647427854454,15807.036386449185,19618.208281053954,32361.294855708908,7816.110414052698,51970.12797992472,30954.519447929735,15996.627352572146,31923.31242158093,9204.115432873275,26445.63111668758,25487.016311166877,9363.513174404015,36374.14303638645,6276.33626097867,21607.106649937265,14651.904642409034,46272.7026348808,35801.39523212045,43380.69761606023,4791.086574654956,32403.41279799247,19100.466750313677,27782.705144291092,40851.9347553325,6748.5872020075285,39505.94730238394,37783.48808030113,11930.499372647428,43489.746549560856,29637.741530740277,57951.37766624843,6617.535759096612,58798.735257214554,4403.151819322459,8268.08496551724,11832.143448275861,12352.891586206897,13483.776,17137.911172413795,18862.000551724137,15058.321655172414,11798.713379310344,15035.952551724138,15512.377379310345,17725.726896551725,21224.889379310345,22162.374620689654,19728.90924137931,11092.135724137932,14703.567448275862,15068.91475862069,17931.489103448275,18147.79144827586,22854.912,20332.040827586206,12255.607172413793,16316.910344827586,13030.263172413794,20266.71668965517,17632.16331034483,21366.920827586207,14849.315310344828,11424.873931034483,15263.863172413792,16444.694068965517,25614.34924137931,23608.028689655173,21733.790896551724,17626.972689655173,14330.822620689654,18457.44551724138,20177.928827586205,27255.556413793103,19378.816,24755.63255172414,15786.478344827587,13906.321655172414,18603.347862068964,23926.316137931033,26146.524689655173,18810.13848275862,24007.459310344828,14947.451586206897
jasons_testNamerhett-delta-spike300.tiff,14235.38268506901,16000.963613550815,22520.331242158092,7220.195734002509,45722.579673776665,5059.6135508155585,41749.480552070265,16140.486825595985,23026.790464240905,28958.996235884566,28501.84190715182,26643.914680050188,47019.08155583438,4576.361355081556,15436.647427854454,15807.036386449185,19618.208281053954,32361.294855708908,7816.110414052698,51970.12797992472,30954.519447929735,15996.627352572146,31923.31242158093,9204.115432873275,26445.63111668758,25487.016311166877,9363.513174404015,36374.14303638645,6276.33626097867,21607.106649937265,14651.904642409034,46272.7026348808,35801.39523212045,43380.69761606023,4791.086574654956,32403.41279799247,19100.466750313677,27782.705144291092,40851.9347553325,6748.5872020075285,39505.94730238394,37783.48808030113,11930.499372647428,43489.746549560856,29637.741530740277,57951.37766624843,6617.535759096612,58798.735257214554,4403.151819322459,8268.08496551724,11832.143448275861,12352.891586206897,13483.776,17137.911172413795,18862.000551724137,15058.321655172414,11798.713379310344,15035.952551724138,15512.377379310345,17725.726896551725,21224.889379310345,22162.374620689654,19728.90924137931,11092.135724137932,14703.567448275862,15068.91475862069,17931.489103448275,18147.79144827586,22854.912,20332.040827586206,12255.607172413793,16316.910344827586,13030.263172413794,20266.71668965517,17632.16331034483,21366.920827586207,14849.315310344828,11424.873931034483,15263.863172413792,16444.694068965517,25614.34924137931,23608.028689655173,21733.790896551724,17626.972689655173,14330.822620689654,18457.44551724138,20177.928827586205,27255.556413793103,19378.816,24755.63255172414,15786.478344827587,13906.321655172414,18603.347862068964,23926.316137931033,26146.524689655173,18810.13848275862,24007.459310344828,14947.451586206897
jasons_testNamerhett-delta-spike300.tiff,14235.38268506901,16000.963613550815,22520.331242158092,7220.195734002509,45722.579673776665,5059.6135508155585,41749.480552070265,16140.486825595985,23026.790464240905,28958.996235884566,28501.84190715182,26643.914680050188,47019.08155583438,4576.361355081556,15436.647427854454,15807.036386449185,19618.208281053954,32361.294855708908,7816.110414052698,51970.12797992472,30954.519447929735,15996.627352572146,31923.31242158093,9204.115432873275,26445.63111668758,25487.016311166877,9363.513174404015,36374.14303638645,6276.33626097867,21607.106649937265,14651.904642409034,46272.7026348808,35801.39523212045,43380.69761606023,4791.086574654956,32403.41279799247,19100.466750313677,27782.705144291092,40851.9347553325,6748.5872020075285,39505.94730238394,37783.48808030113,11930.499372647428,43489.746549560856,29637.741530740277,57951.37766624843,6617.535759096612,58798.735257214554,4403.151819322459,8268.08496551724,11832.143448275861,12352.891586206897,13483.776,17137.911172413795,18862.000551724137,15058.321655172414,11798.713379310344,15035.952551724138,15512.377379310345,17725.726896551725,21224.889379310345,22162.374620689654,19728.90924137931,11092.135724137932,14703.567448275862,15068.91475862069,17931.489103448275,18147.79144827586,22854.912,20332.040827586206,12255.607172413793,16316.910344827586,13030.263172413794,20266.71668965517,17632.16331034483,21366.920827586207,14849.315310344828,11424.873931034483,15263.863172413792,16444.694068965517,25614.34924137931,23608.028689655173,21733.790896551724,17626.972689655173,14330.822620689654,18457.44551724138,20177.928827586205,27255.556413793103,19378.816,24755.63255172414,15786.478344827587,13906.321655172414,18603.347862068964,23926.316137931033,26146.524689655173,18810.13848275862,24007.459310344828,14947.451586206897
jasons_testNamerhett-delta-spike300.tiff,14235.38268506901,16000.963613550815,22520.331242158092,7220.195734002509,45722.579673776665,5059.6135508155585,41749.480552070265,16140.486825595985,23026.790464240905,28958.996235884566,28501.84190715182,26643.914680050188,47019.08155583438,4576.361355081556,15436.647427854454,15807.036386449185,19618.208281053954,32361.294855708908,7816.110414052698,51970.12797992472,30954.519447929735,15996.627352572146,31923.31242158093,9204.115432873275,26445.63111668758,25487.016311166877,9363.513174404015,36374.14303638645,6276.33626097867,21607.106649937265,14651.904642409034,46272.7026348808,35801.39523212045,43380.69761606023,4791.086574654956,32403.41279799247,19100.466750313677,27782.705144291092,40851.9347553325,6748.5872020075285,39505.94730238394,37783.48808030113,11930.499372647428,43489.746549560856,29637.741530740277,57951.37766624843,6617.535759096612,58798.735257214554,4403.151819322459,8268.08496551724,11832.143448275861,12352.891586206897,13483.776,17137.911172413795,18862.000551724137,15058.321655172414,11798.713379310344,15035.952551724138,15512.377379310345,17725.726896551725,21224.889379310345,22162.374620689654,19728.90924137931,11092.135724137932,14703.567448275862,15068.91475862069,17931.489103448275,18147.79144827586,22854.912,20332.040827586206,12255.607172413793,16316.910344827586,13030.263172413794,20266.71668965517,17632.16331034483,21366.920827586207,14849.315310344828,11424.873931034483,15263.863172413792,16444.694068965517,25614.34924137931,23608.028689655173,21733.790896551724,17626.972689655173,14330.822620689654,18457.44551724138,20177.928827586205,27255.556413793103,19378.816,24755.63255172414,15786.478344827587,13906.321655172414,18603.347862068964,23926.316137931033,26146.524689655173,18810.13848275862,24007.459310344828,14947.451586206897
jasons_testNamerhett-delta-spike300.tiff,14235.38268506901,16000.963613550815,22520.331242158092,7220.195734002509,45722.579673776665,5059.6135508155585,41749.480552070265,16140.486825595985,23026.790464240905,28958.996235884566,28501.84190715182,26643.914680050188,47019.08155583438,4576.361355081556,15436.647427854454,15807.036386449185,19618.208281053954,32361.294855708908,7816.110414052698,51970.12797992472,30954.519447929735,15996.627352572146,31923.31242158093,9204.115432873275,26445.63111668758,25487.016311166877,9363.513174404015,36374.14303638645,6276.33626097867,21607.106649937265,14651.904642409034,46272.7026348808,35801.39523212045,43380.69761606023,4791.086574654956,32403.41279799247,19100.466750313677,27782.705144291092,40851.9347553325,6748.5872020075285,39505.94730238394,37783.48808030113,11930.499372647428,43489.746549560856,29637.741530740277,57951.37766624843,6617.535759096612,58798.735257214554,4403.151819322459,8268.08496551724,11832.143448275861,12352.891586206897,13483.776,17137.911172413795,18862.000551724137,15058.321655172414,11798.713379310344,15035.952551724138,15512.377379310345,17725.726896551725,21224.889379310345,22162.374620689654,19728.90924137931,11092.135724137932,14703.567448275862,15068.91475862069,17931.489103448275,18147.79144827586,22854.912,20332.040827586206,12255.607172413793,16316.910344827586,13030.263172413794,20266.71668965517,17632.16331034483,21366.920827586207,14849.315310344828,11424.873931034483,15263.863172413792,16444.694068965517,25614.34924137931,23608.028689655173,21733.790896551724,17626.972689655173,14330.822620689654,18457.44551724138,20177.928827586205,27255.556413793103,19378.816,24755.63255172414,15786.478344827587,13906.321655172414,18603.347862068964,23926.316137931033,26146.524689655173,18810.13848275862,24007.459310344828,14947.451586206897
